login,total_mr,accepted_mr,rejected_mr,acceptance_rate,group
DGeisz,2,2.0,0.0,100.0,Agent
sgardoll,2,1.0,1.0,50.0,Agent
jonborgkid,1,0.0,1.0,0.0,Agent
pbot424,1,1.0,0.0,100.0,Agent
morganmcg1,3,3.0,0.0,100.0,Agent
JcAmela,1,1.0,0.0,100.0,Agent
fabriziofonseca,1,1.0,0.0,100.0,Agent
phillipod,1,0.0,1.0,0.0,Agent
rirrgang,1,1.0,0.0,100.0,Agent
SayakGH,1,1.0,0.0,100.0,Agent
nhafairi,2,2.0,0.0,100.0,Agent
shopidndd,1,1.0,0.0,100.0,Agent
haodarohh,2,0.0,2.0,0.0,Agent
adebenedictis2020,1,0.0,1.0,0.0,Agent
dogukanozcan,1,1.0,0.0,100.0,Agent
kaushallodd62,2,2.0,0.0,100.0,Agent
Chill1312,1,1.0,0.0,100.0,Agent
jwildig,1,1.0,0.0,100.0,Agent
jrodr995,1,1.0,0.0,100.0,Agent
revanza-git,1,1.0,0.0,100.0,Agent
ilia-nayakshin-oshensail,1,1.0,0.0,100.0,Agent
thekaasking,1,1.0,0.0,100.0,Agent
dabit1,1,1.0,0.0,100.0,Agent
TheBoxCoder,1,1.0,0.0,100.0,Agent
vkas0812,1,1.0,0.0,100.0,Agent
chiragpatel269,1,0.0,1.0,0.0,Agent
sopedal,1,1.0,0.0,100.0,Agent
nonlin,1,1.0,0.0,100.0,Agent
Jihooni97,1,1.0,0.0,100.0,Agent
ldh019,1,1.0,0.0,100.0,Agent
Daniel-418,1,1.0,0.0,100.0,Agent
mapachefede,2,2.0,0.0,100.0,Agent
jahau,1,1.0,0.0,100.0,Agent
LeomarLinhares,1,1.0,0.0,100.0,Agent
antigremlin,1,1.0,0.0,100.0,Agent
Shinobabu97,1,1.0,0.0,100.0,Agent
bassam92,1,1.0,0.0,100.0,Agent
talberry,1,0.0,1.0,0.0,Agent
MG9797,1,1.0,0.0,100.0,Agent
soyvural,1,1.0,0.0,100.0,Agent
oisanchezp,1,1.0,0.0,100.0,Agent
jeremycalcarian,1,0.0,1.0,0.0,Agent
samurzl,1,1.0,0.0,100.0,Agent
JELAH-JABRANE,1,1.0,0.0,100.0,Agent
26medias,1,1.0,0.0,100.0,Agent
ShengrenHou,4,3.0,1.0,75.0,Agent
Zombieliu,15,14.0,1.0,93.33,Agent
Gad9889,1,1.0,0.0,100.0,Agent
milas-melt,1,1.0,0.0,100.0,Agent
skchow03,1,1.0,0.0,100.0,Agent
4thTomost,1,1.0,0.0,100.0,Agent
Swimhack,1,0.0,1.0,0.0,Agent
maclordaj,1,1.0,0.0,100.0,Agent
tomfanhm,1,1.0,0.0,100.0,Agent
YeknomStun,1,1.0,0.0,100.0,Agent
mtzdgtlab,1,1.0,0.0,100.0,Agent
yavuzbeyy,1,1.0,0.0,100.0,Agent
vaglino,1,1.0,0.0,100.0,Agent
leinelissen,1,1.0,0.0,100.0,Agent
bca-vibe,1,1.0,0.0,100.0,Agent
Mglaubert,1,1.0,0.0,100.0,Agent
hofmannsven,1,1.0,0.0,100.0,Agent
Vanderbiller,1,0.0,1.0,0.0,Agent
Berat0013,1,1.0,0.0,100.0,Agent
PCDSandwichMan,1,0.0,1.0,0.0,Agent
LazarJesic,1,1.0,0.0,100.0,Agent
Rahamat-prog,1,1.0,0.0,100.0,Agent
pranayj02,2,2.0,0.0,100.0,Agent
tempest2023,7,5.0,2.0,71.43,Agent
bobac,3,3.0,0.0,100.0,Agent
pc-style,6,6.0,0.0,100.0,Agent
Shiv13angi,1,1.0,0.0,100.0,Agent
sebastiavillalobos,2,2.0,0.0,100.0,Agent
Mopphie,5,5.0,0.0,100.0,Agent
bcentner,2,2.0,0.0,100.0,Agent
rodolVargasdev,1,1.0,0.0,100.0,Agent
eemax,6,5.0,1.0,83.33,Agent
vahaah,1,1.0,0.0,100.0,Agent
benborgers,3,3.0,0.0,100.0,Agent
Dillonu,1,1.0,0.0,100.0,Agent
owengretzinger,3,2.0,1.0,66.67,Agent
PRAJWALPSHENOY,1,1.0,0.0,100.0,Agent
felix-dolderer,5,5.0,0.0,100.0,Agent
likasrolo,1,1.0,0.0,100.0,Agent
Gonglitian,3,3.0,0.0,100.0,Agent
alywheng27,4,3.0,1.0,75.0,Agent
Guilmon-Macicame,1,1.0,0.0,100.0,Agent
vishol,2,2.0,0.0,100.0,Agent
bertv07,1,1.0,0.0,100.0,Agent
ramiAbdou,1,1.0,0.0,100.0,Agent
hulrap,2,2.0,0.0,100.0,Agent
Aaron-212,46,46.0,0.0,100.0,Agent
macjavs,2,1.0,1.0,50.0,Agent
delelin,1,1.0,0.0,100.0,Agent
n8allan,7,7.0,0.0,100.0,Agent
justjimmypy,1,1.0,0.0,100.0,Agent
bl5ck,2,1.0,1.0,50.0,Agent
hooddxwd,2,2.0,0.0,100.0,Agent
Jothipriyan,1,1.0,0.0,100.0,Agent
booysej,2,2.0,0.0,100.0,Agent
jfaict,3,3.0,0.0,100.0,Agent
JayKataria23,6,3.0,3.0,50.0,Agent
jfuginay,2,2.0,0.0,100.0,Agent
baxy5,2,0.0,2.0,0.0,Agent
isakb,1,0.0,1.0,0.0,Agent
Sajjjaddd,4,4.0,0.0,100.0,Agent
lroolle,1,1.0,0.0,100.0,Agent
jfblocks,2,2.0,0.0,100.0,Agent
H0924cc,1,1.0,0.0,100.0,Agent
pavlovatlgroup-cloud,1,1.0,0.0,100.0,Agent
MagMueller,5,3.0,2.0,60.0,Agent
eridhobffry,1,1.0,0.0,100.0,Agent
skmtrd,1,1.0,0.0,100.0,Agent
burhanuddin20,2,1.0,1.0,50.0,Agent
mostafa2000eg,1,1.0,0.0,100.0,Agent
gbroseo,1,1.0,0.0,100.0,Agent
safwan-ms,1,1.0,0.0,100.0,Agent
himanshupal24,1,1.0,0.0,100.0,Agent
ndn8144,1,1.0,0.0,100.0,Agent
dylanTruffle,3,3.0,0.0,100.0,Agent
joyji,1,1.0,0.0,100.0,Agent
ahmeterenokur9,4,4.0,0.0,100.0,Agent
mtzjon,11,8.0,3.0,72.73,Agent
Awake-s,1,0.0,1.0,0.0,Agent
mdlindsey,1,1.0,0.0,100.0,Agent
Rach-Ad,1,1.0,0.0,100.0,Agent
filmizi,2,1.0,1.0,50.0,Agent
Rishpraveen,1,1.0,0.0,100.0,Agent
sungik-choi,1,1.0,0.0,100.0,Agent
Twixes,1,1.0,0.0,100.0,Agent
Tharun-bot,1,1.0,0.0,100.0,Agent
gichigi,3,3.0,0.0,100.0,Agent
sohanfernando,1,0.0,1.0,0.0,Agent
chengliang-git,1,1.0,0.0,100.0,Agent
anagonama704,1,1.0,0.0,100.0,Agent
codentTech,1,0.0,1.0,0.0,Agent
djsavvy,4,2.0,2.0,50.0,Agent
zomux,1,1.0,0.0,100.0,Agent
onndd,2,2.0,0.0,100.0,Agent
moodykhalif23,2,2.0,0.0,100.0,Agent
stackingrockss,1,1.0,0.0,100.0,Agent
jasminelong,7,7.0,0.0,100.0,Agent
Riaz9543,4,4.0,0.0,100.0,Agent
prawat79,1,1.0,0.0,100.0,Agent
Babu8stark,1,1.0,0.0,100.0,Agent
samoht625,1,1.0,0.0,100.0,Agent
Rickyvicky,2,2.0,0.0,100.0,Agent
agaru1201,1,1.0,0.0,100.0,Agent
proxy0knight,1,1.0,0.0,100.0,Agent
PavelAIM,1,1.0,0.0,100.0,Agent
DennisForge,1,1.0,0.0,100.0,Agent
timuryener,1,1.0,0.0,100.0,Agent
HyperlordOG,1,1.0,0.0,100.0,Agent
Zodarc,1,0.0,1.0,0.0,Agent
victor048,1,1.0,0.0,100.0,Agent
amirabedinii,2,2.0,0.0,100.0,Agent
henno,1,0.0,1.0,0.0,Agent
nicholastan2810,2,2.0,0.0,100.0,Agent
tkondamuru,1,1.0,0.0,100.0,Agent
Scarjit,2,0.0,2.0,0.0,Agent
ABDULLAH-BARI-ASIF,2,2.0,0.0,100.0,Agent
ikerpqpapaa,1,1.0,0.0,100.0,Agent
mrknight-45,1,1.0,0.0,100.0,Agent
qionghuang6,1,1.0,0.0,100.0,Agent
Het2239,1,1.0,0.0,100.0,Agent
DigitalFils,1,1.0,0.0,100.0,Agent
oceangbr,1,1.0,0.0,100.0,Agent
hasibnadim,1,0.0,1.0,0.0,Agent
AKBoles,1,1.0,0.0,100.0,Agent
nnoby95,3,3.0,0.0,100.0,Agent
nomad-dormouse,1,1.0,0.0,100.0,Agent
hassnainsyed,1,1.0,0.0,100.0,Agent
takezou621,8,8.0,0.0,100.0,Agent
tears330,3,3.0,0.0,100.0,Agent
SilVdB,1,0.0,1.0,0.0,Agent
Fank,3,2.0,1.0,66.67,Agent
curb47,3,3.0,0.0,100.0,Agent
emily-flambe,11,10.0,1.0,90.91,Agent
iainmcgin,1,0.0,1.0,0.0,Agent
wlvh,4,4.0,0.0,100.0,Agent
WebAppAI0410,3,2.0,1.0,66.67,Agent
x81k25,31,31.0,0.0,100.0,Agent
woodrowpearson,8,7.0,1.0,87.5,Agent
petermattis,1,1.0,0.0,100.0,Agent
Esk3nder,3,3.0,0.0,100.0,Agent
matsilva,1,1.0,0.0,100.0,Agent
nathanvale,1,1.0,0.0,100.0,Agent
fr1jo,3,2.0,1.0,66.67,Agent
cptkoolbeenz,2,1.0,1.0,50.0,Agent
no-yan,5,3.0,2.0,60.0,Agent
mr-mcox,1,1.0,0.0,100.0,Agent
dragonku,1,1.0,0.0,100.0,Agent
dpshade,1,1.0,0.0,100.0,Agent
galactic993,1,1.0,0.0,100.0,Agent
manoj30075,1,1.0,0.0,100.0,Agent
popand,1,1.0,0.0,100.0,Agent
keeganpaleshi,855,658.0,197.0,76.96,Agent
shmublu,2,2.0,0.0,100.0,Agent
mmf-code,22,22.0,0.0,100.0,Agent
simba-git,83,71.0,12.0,85.54,Agent
osmanmub,63,57.0,6.0,90.48,Agent
yakuzadave,237,237.0,0.0,100.0,Agent
RetnaTyas,241,240.0,1.0,99.59,Agent
k2majeot,23,23.0,0.0,100.0,Agent
imedhamdi,187,179.0,8.0,95.72,Agent
Hans2711,99,87.0,12.0,87.88,Agent
alexanderjeurissen,78,76.0,2.0,97.44,Agent
ales27pm,112,107.0,5.0,95.54,Agent
dean0x,4,0.0,4.0,0.0,Agent
phoneuooyd,43,39.0,4.0,90.7,Agent
VimsRocz,1032,935.0,97.0,90.6,Agent
Treszyk,41,35.0,6.0,85.37,Agent
llm-case-studies,199,186.0,13.0,93.47,Agent
catch1981,88,66.0,22.0,75.0,Agent
mestileryan,10,9.0,1.0,90.0,Agent
thehhugg,5,5.0,0.0,100.0,Agent
PMorais13,85,84.0,1.0,98.82,Agent
Tsarcasm831,247,247.0,0.0,100.0,Agent
terrymunro,12,6.0,6.0,50.0,Agent
victorliu5296,8,8.0,0.0,100.0,Agent
andrewalufkin,6,6.0,0.0,100.0,Agent
ssreynoso,3,3.0,0.0,100.0,Agent
clarkyeah,3,3.0,0.0,100.0,Agent
Geibinger,2,2.0,0.0,100.0,Agent
synapscale,68,46.0,22.0,67.65,Agent
keiv-fly,53,49.0,4.0,92.45,Agent
teniee,43,41.0,2.0,95.35,Agent
sudoahidalgo,203,203.0,0.0,100.0,Agent
cnrosu,113,109.0,4.0,96.46,Agent
marbleworks,52,52.0,0.0,100.0,Agent
Melanjnk,6,6.0,0.0,100.0,Agent
Brelyntweb4,27,27.0,0.0,100.0,Agent
showyouhow83,243,230.0,13.0,94.65,Agent
Ace1928,147,108.0,39.0,73.47,Agent
Tosaaaki,683,674.0,9.0,98.68,Agent
nihal1294,6,6.0,0.0,100.0,Agent
kanekop,14,14.0,0.0,100.0,Agent
himanshu0o7,26,26.0,0.0,100.0,Agent
hexawulf,77,77.0,0.0,100.0,Agent
immunizedcarbon,104,101.0,3.0,97.12,Agent
Myoxsis,13,13.0,0.0,100.0,Agent
blyadwa,30,30.0,0.0,100.0,Agent
Sanguin1us,21,20.0,1.0,95.24,Agent
Gruppe4-Projektentwicklung,170,163.0,7.0,95.88,Agent
ryanm-plastic-recycling,127,127.0,0.0,100.0,Agent
sentilaso1,39,39.0,0.0,100.0,Agent
andersjay,21,18.0,3.0,85.71,Agent
tassiosouza,15,15.0,0.0,100.0,Agent
TheJollyCoder,63,62.0,1.0,98.41,Agent
RW2023,35,33.0,2.0,94.29,Agent
BrutalChopp,40,38.0,2.0,95.0,Agent
Ready2Learn2025,70,69.0,1.0,98.57,Agent
gabrielnadoncanada,45,44.0,1.0,97.78,Agent
Apollo-11,22,20.0,2.0,90.91,Agent
NorbertK23,58,56.0,2.0,96.55,Agent
martmega,400,400.0,0.0,100.0,Agent
IAI-works,56,56.0,0.0,100.0,Agent
buraklc97,62,61.0,1.0,98.39,Agent
robin385,11,11.0,0.0,100.0,Agent
vaeryn-uk,22,21.0,1.0,95.45,Agent
Mekann2904,82,68.0,14.0,82.93,Agent
KnowMe-app,170,169.0,1.0,99.41,Agent
fg12111,48,46.0,2.0,95.83,Agent
aibek1106,21,21.0,0.0,100.0,Agent
carlosverissimo3001,9,7.0,2.0,77.78,Agent
ksteele98,93,93.0,0.0,100.0,Agent
MRCHEERS,1,1.0,0.0,100.0,Agent
InvincibleIRMan,3,3.0,0.0,100.0,Agent
cguyeux,54,54.0,0.0,100.0,Agent
mrworf,14,13.0,1.0,92.86,Agent
tagslut,134,125.0,9.0,93.28,Agent
sdecima,3,3.0,0.0,100.0,Agent
Ch1keen,3,3.0,0.0,100.0,Agent
TarokoDev,14,14.0,0.0,100.0,Agent
hoangminhanhtu,10,7.0,3.0,70.0,Agent
brilliantcontract,123,112.0,11.0,91.06,Agent
matteo110918,6,6.0,0.0,100.0,Agent
judelFintch,215,215.0,0.0,100.0,Agent
jwickard,16,16.0,0.0,100.0,Agent
urikreitner,9,9.0,0.0,100.0,Agent
victor-ramos-seagull-com,15,15.0,0.0,100.0,Agent
alejandro088,39,38.0,1.0,97.44,Agent
han-sueng-joo,17,16.0,1.0,94.12,Agent
watermirror,4,4.0,0.0,100.0,Agent
DarielVargas,104,0.0,104.0,0.0,Agent
sachitha2,117,116.0,1.0,99.15,Agent
jonathanpak,4,4.0,0.0,100.0,Agent
Orgindy,109,95.0,14.0,87.16,Agent
revanshine,13,13.0,0.0,100.0,Agent
corentincarton,3,1.0,2.0,33.33,Agent
Kevinx1031,8,8.0,0.0,100.0,Agent
phalchanouksa,6,5.0,1.0,83.33,Agent
Nrico,59,58.0,1.0,98.31,Agent
bonesao,4,4.0,0.0,100.0,Agent
badigit,1,1.0,0.0,100.0,Agent
JohnnyTheGoalie,41,40.0,1.0,97.56,Agent
adaptiveX-gh,163,163.0,0.0,100.0,Agent
YXChen0323,28,28.0,0.0,100.0,Agent
arnodelorme,1,1.0,0.0,100.0,Agent
roanmatthijs,36,27.0,9.0,75.0,Agent
grigory-zhovtun,1,1.0,0.0,100.0,Agent
samyakjain-1,2,1.0,1.0,50.0,Agent
AndreAbreo,50,49.0,1.0,98.0,Agent
lacker,13,13.0,0.0,100.0,Agent
unisoflta,62,62.0,0.0,100.0,Agent
AndrewDrinkwater,59,59.0,0.0,100.0,Agent
andrestellez84,11,11.0,0.0,100.0,Agent
Codehagen,11,11.0,0.0,100.0,Agent
YUVALF14,8,0.0,8.0,0.0,Agent
Yosi2377,17,16.0,1.0,94.12,Agent
tavaresasilva,29,29.0,0.0,100.0,Agent
evanderloo,1,1.0,0.0,100.0,Agent
kent28,1,1.0,0.0,100.0,Agent
miguelGuillenPaz,2,2.0,0.0,100.0,Agent
JustLinkIt1,38,30.0,8.0,78.95,Agent
rakeshnreddy,37,37.0,0.0,100.0,Agent
maxvanceffer,4,4.0,0.0,100.0,Agent
StanDobrev11,11,11.0,0.0,100.0,Agent
IvanPavlov25,11,11.0,0.0,100.0,Agent
martinbaumann-sky,4,3.0,1.0,75.0,Agent
StefanThomasMeier,23,22.0,1.0,95.65,Agent
sagearbor,84,84.0,0.0,100.0,Agent
dleon55,16,16.0,0.0,100.0,Agent
arashMarashian,20,17.0,3.0,85.0,Agent
norman-mei,13,13.0,0.0,100.0,Agent
zhouweicJp,6,6.0,0.0,100.0,Agent
Seobuk,5,5.0,0.0,100.0,Agent
jonny2301,20,20.0,0.0,100.0,Agent
blue-tech-ae,59,59.0,0.0,100.0,Agent
nyvyn,25,18.0,7.0,72.0,Agent
eyvervalbuena,17,17.0,0.0,100.0,Agent
shaswata-das,17,17.0,0.0,100.0,Agent
TACITVS,22,21.0,1.0,95.45,Agent
dutchsloot84,9,6.0,3.0,66.67,Agent
LuisMartinParraMorales,78,75.0,3.0,96.15,Agent
DavidLiedle,63,60.0,3.0,95.24,Agent
breezynotcheezy,60,56.0,4.0,93.33,Agent
wehr-to,3,3.0,0.0,100.0,Agent
yukselcodingwithyou,10,10.0,0.0,100.0,Agent
jgoos,41,36.0,5.0,87.8,Agent
BJHorseman2,71,71.0,0.0,100.0,Agent
jc4p,1,0.0,1.0,0.0,Agent
kk99corn,1,1.0,0.0,100.0,Agent
Pier0t,1,1.0,0.0,100.0,Agent
MrDeox,71,71.0,0.0,100.0,Agent
nicoegiaian,9,9.0,0.0,100.0,Agent
callmeATHUL,5,5.0,0.0,100.0,Agent
AEWorthy,26,24.0,2.0,92.31,Agent
lenhattri,5,5.0,0.0,100.0,Agent
ramjeesaradi,15,15.0,0.0,100.0,Agent
astral-matrix,11,10.0,1.0,90.91,Agent
deltabeard,10,9.0,1.0,90.0,Agent
CaptainIgl00,2,2.0,0.0,100.0,Agent
moriorgames,4,3.0,1.0,75.0,Agent
marco-lor,6,6.0,0.0,100.0,Agent
EduGar130,5,4.0,1.0,80.0,Agent
SudharmaCreators,1,1.0,0.0,100.0,Agent
elvenaz0,7,6.0,1.0,85.71,Agent
sauramel,2,2.0,0.0,100.0,Agent
samayo,4,4.0,0.0,100.0,Agent
chickenftu,10,10.0,0.0,100.0,Agent
akoun-dev,129,121.0,8.0,93.8,Agent
MagnusOverby,2,2.0,0.0,100.0,Agent
Zetax9x,26,25.0,1.0,96.15,Agent
bubbabdfjhgldkfhg,61,61.0,0.0,100.0,Agent
prof-hub,34,34.0,0.0,100.0,Agent
yosfgfx,1,1.0,0.0,100.0,Agent
TakamiChie,19,16.0,3.0,84.21,Agent
PlanJames,3,3.0,0.0,100.0,Agent
timgivois,22,21.0,1.0,95.45,Agent
hogg101,1,1.0,0.0,100.0,Agent
con77win,1,0.0,1.0,0.0,Agent
shinshin600,32,32.0,0.0,100.0,Agent
uilfl,1,1.0,0.0,100.0,Agent
nepovtor,17,17.0,0.0,100.0,Agent
jche0394,9,9.0,0.0,100.0,Agent
lfhwnqe,20,20.0,0.0,100.0,Agent
YoshihisaSaitou,2,2.0,0.0,100.0,Agent
VictorAmadeu,3,1.0,2.0,33.33,Agent
AaronMaYue,1,1.0,0.0,100.0,Agent
vguerriero,17,17.0,0.0,100.0,Agent
tyranosurasmax,2,2.0,0.0,100.0,Agent
O-Marcos-Estevam,4,4.0,0.0,100.0,Agent
joneri,47,46.0,1.0,97.87,Agent
unclesp1d3r,4,4.0,0.0,100.0,Agent
hannahmenke,3,2.0,1.0,66.67,Agent
ahontoria,1,1.0,0.0,100.0,Agent
yoloyash,10,9.0,1.0,90.0,Agent
Themath93,9,9.0,0.0,100.0,Agent
Juuunnne,3,2.0,1.0,66.67,Agent
CorradoLanera,1,1.0,0.0,100.0,Agent
DenBlacky808,1,1.0,0.0,100.0,Agent
zhengfanguo123,12,7.0,5.0,58.33,Agent
mkapulica,2,2.0,0.0,100.0,Agent
sheikhkayenat,1,1.0,0.0,100.0,Agent
acewebsa,4,4.0,0.0,100.0,Agent
weirdkid,3,3.0,0.0,100.0,Agent
facurogala,2,2.0,0.0,100.0,Agent
bl0ndeYetti,18,16.0,2.0,88.89,Agent
SlapShotTech,3,3.0,0.0,100.0,Agent
IngDavidTM,3,3.0,0.0,100.0,Agent
collettsystems,9,9.0,0.0,100.0,Agent
harrycapta,3,3.0,0.0,100.0,Agent
GodOfDiamond,3,3.0,0.0,100.0,Agent
freyh1,8,8.0,0.0,100.0,Agent
tariksoysal,11,11.0,0.0,100.0,Agent
hireai24,3,3.0,0.0,100.0,Agent
hardware-forest-utopia,11,11.0,0.0,100.0,Agent
bmenten,12,12.0,0.0,100.0,Agent
semyonmor,2,1.0,1.0,50.0,Agent
leachy14,27,26.0,1.0,96.3,Agent
dominik-najberg,13,12.0,1.0,92.31,Agent
domin211,29,29.0,0.0,100.0,Agent
slickdexic,2,2.0,0.0,100.0,Agent
kaizeng,9,9.0,0.0,100.0,Agent
Anon0x23,5,5.0,0.0,100.0,Agent
DylanWarrener,3,3.0,0.0,100.0,Agent
ZicanC,6,6.0,0.0,100.0,Agent
MisterEight,7,6.0,1.0,85.71,Agent
ShaunBulbrook,7,6.0,1.0,85.71,Agent
NateIsern,37,34.0,3.0,91.89,Agent
consentsam,22,22.0,0.0,100.0,Agent
Dalhai,31,30.0,1.0,96.77,Agent
hvantien,18,18.0,0.0,100.0,Agent
ye422,4,3.0,1.0,75.0,Agent
Jsackitey1,4,3.0,1.0,75.0,Agent
mattwatson7,10,6.0,4.0,60.0,Agent
harhota,8,8.0,0.0,100.0,Agent
growsic,6,6.0,0.0,100.0,Agent
GregoryWilks,22,22.0,0.0,100.0,Agent
turrrruuuu,2,2.0,0.0,100.0,Agent
beaubreedlove,17,15.0,2.0,88.24,Agent
pand0r,6,6.0,0.0,100.0,Agent
jadrk040507,14,14.0,0.0,100.0,Agent
raja-aiml,52,49.0,3.0,94.23,Agent
setiawand,39,39.0,0.0,100.0,Agent
bantusak3th,7,7.0,0.0,100.0,Agent
nathanabreu,24,17.0,7.0,70.83,Agent
Mishtvin,8,8.0,0.0,100.0,Agent
a8kaabi1,12,9.0,3.0,75.0,Agent
danimulller,8,7.0,1.0,87.5,Agent
KiranKumar-Moguluri,2,2.0,0.0,100.0,Agent
shawn-learn,17,17.0,0.0,100.0,Agent
Master-Athreas,7,7.0,0.0,100.0,Agent
thecowgoesmoo,12,12.0,0.0,100.0,Agent
simprl,7,6.0,1.0,85.71,Agent
kino2718,4,3.0,1.0,75.0,Agent
TheoC99,3,3.0,0.0,100.0,Agent
JESRI-C,12,12.0,0.0,100.0,Agent
EmilStyle,2,2.0,0.0,100.0,Agent
AEVANLANG,4,4.0,0.0,100.0,Agent
WesterlyDrift,1,1.0,0.0,100.0,Agent
MURADALV,29,29.0,0.0,100.0,Agent
Jabolo,9,9.0,0.0,100.0,Agent
ChrisVivasAI,3,3.0,0.0,100.0,Agent
leoshimo,13,12.0,1.0,92.31,Agent
lpicci96,13,11.0,2.0,84.62,Agent
Alex-Citeroni,1,1.0,0.0,100.0,Agent
ara-ta3,18,16.0,2.0,88.89,Agent
sukhjindersoni,2,2.0,0.0,100.0,Agent
prathameshpatil14,13,13.0,0.0,100.0,Agent
savabs,16,15.0,1.0,93.75,Agent
elvisnap,1,1.0,0.0,100.0,Agent
TheOne2025,6,6.0,0.0,100.0,Agent
kaider,6,6.0,0.0,100.0,Agent
madboy36000,2,2.0,0.0,100.0,Agent
BubeeKilla,8,8.0,0.0,100.0,Agent
deeorbeck,4,4.0,0.0,100.0,Agent
herrmondlicht,2,1.0,1.0,50.0,Agent
akaglis,1,1.0,0.0,100.0,Agent
Snap997,1,0.0,1.0,0.0,Agent
Raygunadk2002,38,38.0,0.0,100.0,Agent
boestin,3,3.0,0.0,100.0,Agent
kaisamng,1,1.0,0.0,100.0,Agent
JuiceTwn,4,4.0,0.0,100.0,Agent
thomasc1993,8,8.0,0.0,100.0,Agent
whowhoswhom,43,43.0,0.0,100.0,Agent
safriaduo,10,4.0,6.0,40.0,Agent
visiontrail,2,2.0,0.0,100.0,Agent
meyerkev,1,1.0,0.0,100.0,Agent
Akhmetov-VA,8,8.0,0.0,100.0,Agent
MB-44,6,6.0,0.0,100.0,Agent
bikash-codehub,6,6.0,0.0,100.0,Agent
OldDeLorean,8,8.0,0.0,100.0,Agent
mrthuan,11,10.0,1.0,90.91,Agent
r7marcel,1,1.0,0.0,100.0,Agent
bollinmore,3,3.0,0.0,100.0,Agent
jayanthsd,2,2.0,0.0,100.0,Agent
nicks145,2,0.0,2.0,0.0,Agent
IgorNogueira1,5,4.0,1.0,80.0,Agent
AlexVanSteenhoven,9,9.0,0.0,100.0,Agent
quantDIY,17,15.0,2.0,88.24,Agent
USPartyParty,4,4.0,0.0,100.0,Agent
jmetrikat,2,1.0,1.0,50.0,Agent
unitedcctv,2,2.0,0.0,100.0,Agent
lehoangphuc747,11,11.0,0.0,100.0,Agent
Mstfucrr,8,5.0,3.0,62.5,Agent
ElBibos90,9,9.0,0.0,100.0,Agent
Jerome2606,3,3.0,0.0,100.0,Agent
xinxinhuang,3,3.0,0.0,100.0,Agent
Lucifer-Morning-Star-Code,3,3.0,0.0,100.0,Agent
AndreaCacioppo,15,15.0,0.0,100.0,Agent
Jul352mf,16,12.0,4.0,75.0,Agent
dandy007,4,4.0,0.0,100.0,Agent
thomasma,1,1.0,0.0,100.0,Agent
labskraft-user204,1,1.0,0.0,100.0,Agent
martalacasta,2,1.0,1.0,50.0,Agent
schmalle,1,1.0,0.0,100.0,Agent
CCninja86,1,1.0,0.0,100.0,Agent
bijanf,2,2.0,0.0,100.0,Agent
Agirumi74,2,1.0,1.0,50.0,Agent
edoardoCame,1,1.0,0.0,100.0,Agent
rechazaloultimo,23,22.0,1.0,95.65,Agent
DevEticeo,2,2.0,0.0,100.0,Agent
Luminus62-dot,41,40.0,1.0,97.56,Agent
rigbyspace,8,8.0,0.0,100.0,Agent
RaptorV6,3,2.0,1.0,66.67,Agent
meistroburger,1,1.0,0.0,100.0,Agent
Chengxufeng1994,3,3.0,0.0,100.0,Agent
TaomasSpace,16,16.0,0.0,100.0,Agent
spawnaga,7,7.0,0.0,100.0,Agent
rhoitjadhav,5,5.0,0.0,100.0,Agent
ALEXLEEX,1,0.0,1.0,0.0,Agent
bkohler,6,6.0,0.0,100.0,Agent
buanzo,24,24.0,0.0,100.0,Agent
mciliv,1,1.0,0.0,100.0,Agent
alishcareberry,1,1.0,0.0,100.0,Agent
josefrezende,4,4.0,0.0,100.0,Agent
abdedarghal111,16,14.0,2.0,87.5,Agent
48design,16,16.0,0.0,100.0,Agent
turesheim,1,0.0,1.0,0.0,Agent
eunsung-actnova,3,3.0,0.0,100.0,Agent
LLCOOLTIGHT,7,7.0,0.0,100.0,Agent
jportugalr,2,1.0,1.0,50.0,Agent
juliogutierrezm,1,1.0,0.0,100.0,Agent
helix-git,5,5.0,0.0,100.0,Agent
gcoiro,3,2.0,1.0,66.67,Agent
ashishbajpai76,1,1.0,0.0,100.0,Agent
zheshishuoshuo,2,2.0,0.0,100.0,Agent
ka312,2,2.0,0.0,100.0,Agent
NagasatoKazuya,4,4.0,0.0,100.0,Agent
JAlcon00,4,4.0,0.0,100.0,Agent
Joshua-Zuniga,12,12.0,0.0,100.0,Agent
Producdevity,4,3.0,1.0,75.0,Agent
rafaeljsouza,1,1.0,0.0,100.0,Agent
skan0421,3,2.0,1.0,66.67,Agent
rumalg123,4,4.0,0.0,100.0,Agent
koseokyoun,1,1.0,0.0,100.0,Agent
PaulLalarme,4,4.0,0.0,100.0,Agent
Sekiro98,1,1.0,0.0,100.0,Agent
Nybrgg,3,3.0,0.0,100.0,Agent
ericlam1114,2,2.0,0.0,100.0,Agent
OmarJaimesRew,13,13.0,0.0,100.0,Agent
heligp,1,1.0,0.0,100.0,Agent
Benjaminhofman,3,3.0,0.0,100.0,Agent
MarkWorkspace,2,2.0,0.0,100.0,Agent
vr4guid,1,1.0,0.0,100.0,Agent
tnylea,2,2.0,0.0,100.0,Agent
thgossler,1,1.0,0.0,100.0,Agent
Mahdi80s,2,2.0,0.0,100.0,Agent
AXVIAM,4,4.0,0.0,100.0,Agent
